Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,,,
IN,Mumbai,Line 3,Line 3,2016,2022,0,33.5,100.00%,33.5,0,0,27,,Media,"320,000",INR,2019,0.047,15040,449.0,1.252572783,"18,838.7",562.3,Trade,https://housing.com/news/mumbai-metro-line-3-everything-you-need-to-know/,,,,
IN,Mumbai,Line 2,Line 2A,2016,2021,0,18.6,0.00%,0,17.48,1.12,17,,Media,"64,100",INR,2018,0.048,3076.8,165.4,1.275269108,"3,923.7",211.0,Media,https://www.freepressjournal.in/mumbai/metro-line-2a-revised-deadline-is-may-2021,,,,
IN,Mumbai,Line 2,Line 2B,2018,2023,0,23.5,0.00%,0,23.5,0,22,,Plan,"109,860",INR,2020,0.047,5163.42,219.7,1.237308306,"6,388.7",271.9,Plan,https://mmrda.maharashtra.gov.in/metro-line-2b,,,,
IN,Mumbai,Line 4,Line 4,2018,2022,0,32.3,0.00%,0,31.71,0.59,32,,Plan,"145,490",INR,2020,0.047,6838.03,211.7,1.237308306,"8,460.8",261.9,Plan,https://mmrda.maharashtra.gov.in/metro-line-4#,,,,
IN,Mumbai,Line 4,Line 4A,2019,2022,0,2.7,0.00%,0,0,0,2,,Plan,"7,860",INR,2017,0.048,377.28,139.7,1.306417265,492.9,182.6,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+4A/da25997a-6844-4c74-b4bd-9538285c9471,,,,
IN,Mumbai,Line 5,Line 5,2017,2024,0,24.9,0.00%,0,0,0,16,,Plan,"84,165",INR,2020,0.047,3955.755,158.9,1.237308306,"4,894.5",196.6,Plan,https://mmrda.maharashtra.gov.in/metro-line-5#,,,,
IN,Mumbai,Line 6,Line 6,2017,2022,0,14.5,0.00%,0,14.5,0,13,,Wiki,"55,670",INR,2016,0.05,2783.5,192.0,1.334248584,"3,713.9",256.1,Media,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+6/17c5ed14-e9fb-4920-9521-02eebb25c4a9,,,,
IN,Mumbai,Line 7,Line 7,2016,2021,0,16.5,0.00%,0,15.505,0.995,14,,Wiki,"62,080",INR,2018,0.048,2979.84,180.6,1.275269108,"3,800.1",230.3,Media,https://www.hindustantimes.com/mumbai-news/metro-lines-2a-7-to-be-delayed-by-3-months-mmrda-chief/story-UodpzX0AgmfV4e1OBrDxCK.html,,,,
IN,Mumbai,Line 7A + 9,Line 7A + 9,2019,2022,0,13.5,16.00%,2.2,0,0,11,,Plan,"65,180",INR,2020,0.047,3063.46,226.9,1.237308306,"3,790.4",280.8,Plan,https://mmrda.maharashtra.gov.in/metro-line-9#,,,,
IN,Mumbai,Line 10,Line 10,2020,2024,0,9.2,8.00%,0.7,0,0,4,,Plan,"38,210",INR,2018,0.048,1834.08,199.4,1.275269108,"2,338.9",254.2,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+10/076595c3-c882-424c-b49d-f22399e9a096,,,,
